"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia ANTONIO RAYMONDI (000)",17059,8492,8567,4455,2287,2168,12604,6205,6399
"Menores de 1 año (001)",395,201,194,87,45,42,308,156,152
"Menores de 1 mes (002)",42,24,18,10,7,3,32,17,15
"De 1 a 11 meses (003)",353,177,176,77,38,39,276,139,137
"De 1 a 4 años (004)",1702,863,839,411,217,194,1291,646,645
"1 año (005)",399,182,217,93,47,46,306,135,171
"2 años (006)",423,227,196,100,60,40,323,167,156
"3 años (007)",430,211,219,112,58,54,318,153,165
"4 años (008)",450,243,207,106,52,54,344,191,153
"De 5 a 9 años (009)",2257,1136,1121,500,255,245,1757,881,876
"5 años (010)",427,217,210,100,53,47,327,164,163
"6 años (011)",411,216,195,94,44,50,317,172,145
"7 años (012)",494,252,242,114,64,50,380,188,192
"8 años (013)",467,229,238,95,49,46,372,180,192
"9 años (014)",458,222,236,97,45,52,361,177,184
"De 10 a 14 años (015)",2412,1238,1174,523,280,243,1889,958,931
"10 años (016)",524,278,246,109,60,49,415,218,197
"11 años (017)",429,225,204,69,36,33,360,189,171
"12 años (018)",529,275,254,124,70,54,405,205,200
"13 años (019)",472,222,250,104,54,50,368,168,200
"14 años (020)",458,238,220,117,60,57,341,178,163
"De 15 a 19 años (021)",1608,853,755,403,220,183,1205,633,572
"15 años (022)",418,220,198,100,44,56,318,176,142
"16 años (023)",386,201,185,95,52,43,291,149,142
"17 años (024)",289,170,119,77,54,23,212,116,96
"18 años (025)",291,149,142,61,34,27,230,115,115
"19 años (026)",224,113,111,70,36,34,154,77,77
"De 20 a 24 años (027)",1096,505,591,336,163,173,760,342,418
"20 años (028)",245,117,128,71,33,38,174,84,90
"21 años (029)",183,72,111,60,33,27,123,39,84
"22 años (030)",229,106,123,62,32,30,167,74,93
"23 años (031)",228,111,117,77,40,37,151,71,80
"24 años (032)",211,99,112,66,25,41,145,74,71
"De 25 a 29 años (033)",1012,490,522,335,152,183,677,338,339
"25 años (034)",201,105,96,60,32,28,141,73,68
"26 años (035)",203,87,116,79,34,45,124,53,71
"27 años (036)",210,112,98,64,31,33,146,81,65
"28 años (037)",202,88,114,74,27,47,128,61,67
"29 años (038)",196,98,98,58,28,30,138,70,68
"De 30 a 34 años (039)",870,435,435,274,152,122,596,283,313
"30 años (040)",221,119,102,60,34,26,161,85,76
"31 años (041)",145,69,76,52,29,23,93,40,53
"32 años (042)",196,100,96,68,42,26,128,58,70
"33 años (043)",155,68,87,45,16,29,110,52,58
"34 años (044)",153,79,74,49,31,18,104,48,56
"De 35 a 39 años (045)",927,464,463,278,147,131,649,317,332
"35 años (046)",186,88,98,53,28,25,133,60,73
