"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LORETO (000)",17623,423,5858,6216,4189,937
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",41,,3,27,10,1
"Profes., científicos e intelectuales (002)",1233,,246,738,247,2
"Técnicos de nivel medio y trab. asimilados (003)",409,,120,177,106,6
"Jefes y empleados de oficina (004)",389,,143,162,82,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1304,27,461,488,279,49
"Agricult. trabaj. calif.agrop. y pesqueros (006)",6579,,1695,2292,1952,640
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",817,5,289,322,192,9
"Obreros construc., conf., papel, fab., instr. (008)",840,2,306,347,178,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5343,383,2281,1456,1022,201
"Otra (010)",48,,17,22,9,
"Ocupación no especificada (011)",620,6,297,185,112,20
"Hombres (012)",13440,309,4516,4686,3195,734
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",35,,2,22,10,1
"Profes., científicos e intelectuales (014)",770,,124,455,189,2
"Técnicos de nivel medio y trab. asimilados (015)",345,,97,151,92,5
"Jefes y empleados de oficina (016)",274,,82,119,71,2
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",737,18,259,263,165,32
"Agricult. trabaj. calif.agrop. y pesqueros (018)",6013,,1531,2119,1787,576
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",778,4,279,308,179,8
"Obreros construc., conf., papel, fab., instr. (020)",823,2,297,343,174,7
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",3268,279,1650,794,451,94
"Otra (022)",45,,16,21,8,
"Ocupación no especificada (023)",352,6,179,91,69,7
"Mujeres (024)",4183,114,1342,1530,994,203
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",6,,1,5,,
"Profes., científicos e intelectuales (026)",463,,122,283,58,
"Técnicos de nivel medio y trab. asimilados (027)",64,,23,26,14,1
"Jefes y empleados de oficina (028)",115,,61,43,11,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",567,9,202,225,114,17
"Agricult. trabaj. calif.agrop. y pesqueros (030)",566,,164,173,165,64
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",39,1,10,14,13,1
"Obreros construc., conf., papel, fab., instr. (032)",17,,9,4,4,
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",2075,104,631,662,571,107
