"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia LAMBAYEQUE (000)",122651,101414,21237
"De 3 a 5 años (001)",17732,1536,16196
"De 6 a 11 años (002)",34798,31188,3610
"De 12 a 16 años (003)",31860,31344,516
"De 17 a 24 años (004)",38261,37346,915
"Hombres (005)",62219,51501,10718
"De 3 a 5 años (006)",8988,773,8215
"De 6 a 11 años (007)",17693,15825,1868
"De 12 a 16 años (008)",16268,16011,257
"De 17 a 24 años (009)",19270,18892,378
"Mujeres (010)",60432,49913,10519
"De 3 a 5 años (011)",8744,763,7981
"De 6 a 11 años (012)",17105,15363,1742
"De 12 a 16 años (013)",15592,15333,259
"De 17 a 24 años (014)",18991,18454,537
,,,
"URBANA (015)",56405,48252,8153
"De 3 a 5 años (016)",7730,954,6776
"De 6 a 11 años (017)",15179,14141,1038
"De 12 a 16 años (018)",14447,14314,133
"De 17 a 24 años (019)",19049,18843,206
"Hombres (020)",28185,24028,4157
"De 3 a 5 años (021)",3903,472,3431
"De 6 a 11 años (022)",7705,7152,553
"De 12 a 16 años (023)",7235,7161,74
"De 17 a 24 años (024)",9342,9243,99
"Mujeres (025)",28220,24224,3996
"De 3 a 5 años (026)",3827,482,3345
"De 6 a 11 años (027)",7474,6989,485
"De 12 a 16 años (028)",7212,7153,59
"De 17 a 24 años (029)",9707,9600,107
,,,
"RURAL (030)",66246,53162,13084
"De 3 a 5 años (031)",10002,582,9420
"De 6 a 11 años (032)",19619,17047,2572
"De 12 a 16 años (033)",17413,17030,383
"De 17 a 24 años (034)",19212,18503,709
"Hombres (035)",34034,27473,6561
"De 3 a 5 años (036)",5085,301,4784
"De 6 a 11 años (037)",9988,8673,1315
"De 12 a 16 años (038)",9033,8850,183
"De 17 a 24 años (039)",9928,9649,279
"Mujeres (040)",32212,25689,6523
"De 3 a 5 años (041)",4917,281,4636
"De 6 a 11 años (042)",9631,8374,1257
"De 12 a 16 años (043)",8380,8180,200
"De 17 a 24 años (044)",9284,8854,430
